text,label,label_name
Who do I make a check out to if I want to top off my account?,58,top_up_by_cash_or_cheque
"Hi there, I've tried to make a transfer 5 different times and its not working. Is your system down or something?",35,failed_transfer
"I don't want to buy this car anymore, can I cancel the transaction and get a quick refund back?",52,request_refund
I need to make several disposable cards per day.,29,disposable_card_limits
I made a cash withdrawal earlier and it's showing as pending. What does that mean?,46,pending_cash_withdrawal
Can you tell me how to tell where my funds come from?,70,verify_source_of_funds
I can't find the auto-top up option.,4,automatic_top_up
What fee will be charged for exchanges?,31,exchange_charge
Can turn my money into another currency?,33,exchange_via_app
How long does it take for something to be delivered to the U.S?,12,card_delivery_estimate
is there a fee for swift transfer,56,top_up_by_bank_transfer_charge
What is the process to get a new card when your old one expires?,9,card_about_to_expire
I need to urgently transfer something from China. How long will it approximately take?,67,transfer_timing
The money has not yet been placed in recipients account.,66,transfer_not_received_by_recipient
Is top-up possible with Apple Pay?,2,apple_pay_or_google_pay
Why was my top up cancelled?,61,top_up_reverted
why do I have to show my ID,69,verify_my_identity
Why do I see a random withdrawal in my app?,20,cash_withdrawal_not_recognised
How long does it take for the transfer to go through?,66,transfer_not_received_by_recipient
I cannot get my google pay to work.,2,apple_pay_or_google_pay
Why would my payment for my card show as pending?,45,pending_card_payment
Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying.,53,reverted_card_payment?
How can I prove I am me?,69,verify_my_identity
Please cancel my last transaction.,8,cancel_transfer
What do I do if my top-up has not gone through?,47,pending_top_up
Can my PIN be changed in any cash machine?,21,change_pin
Can I get paid for this in another currency?,50,receiving_money
Can you please explain the topping up transfer process?,65,transfer_into_account
Waiting for the cash I deposited this morning still,6,balance_not_updated_after_cheque_or_cash_deposit
I made a transfer a couple hours ago but my balance has not been updated. Why is this? Shouldnt this be instant?,5,balance_not_updated_after_bank_transfer
My payment shows that it is pending will I be charged more money?,48,pending_transfer
Why should I verify the top-up?,71,verify_top_up
Please tell me about disposable cards.,37,get_disposable_virtual_card
I'm at the ATM right now and it only allowed me to withdraw 10 pounds instead of my requested 30. What's going on? How can I fix this?,75,wrong_amount_of_cash_received
Why do you need to perform identity verification?,74,why_verify_identity
What are the steps needed to top up with Apple Pay?,2,apple_pay_or_google_pay
I want to change the wrong exchange rate.,17,card_payment_wrong_exchange_rate
A transfer has been made in my account that I need to cancel. This was a mistake on my part and I hope we can get this resolved quickly.,8,cancel_transfer
Help! My account doesn't show any funds. Is transferring funds an option I can use?,65,transfer_into_account
How long does it take to make an urgent transfer from China?,67,transfer_timing
Shouldn't my new card be here by now?,11,card_arrival
Why hasn't a transaction I did to my friend arrived yet?,66,transfer_not_received_by_recipient
I could not get my card to work at a shop.,25,declined_card_payment
Where can the cards be delivered?,43,order_physical_card
How long does it take to recieve my new card?,11,card_arrival
Would it be possible to open up an account for children?,1,age_limit
Why am I not allowed to add a certain beneficiary?,7,beneficiary_not_allowed
My new card hasn't came in.,11,card_arrival
How do I replace a stolen card?,41,lost_or_stolen_card
Someone may have made an error in figuring out the rate of exchange. I should have received more cash than I did on my most recent withdrawal.,76,wrong_exchange_rate_for_cash_withdrawal
Can I get an actual card,43,order_physical_card
How do I get a new card as your machine swallowed mine!,18,card_swallowed
What are the restrictions on the virtual cards?,29,disposable_card_limits
After making a payment with my card it doesn't seem to have worked. It's just showing to be pending. When will this actually be going through?,45,pending_card_payment
"I keep trying to make a payment, but it doesn't work.",25,declined_card_payment
Is it possible to have a second card?,39,getting_spare_card
How can I verify my top-up card?,71,verify_top_up
What do the disposable cards do?,37,get_disposable_virtual_card
Is there something wrong with my ATM Card? Tried using it earlier and it did not work.,26,declined_cash_withdrawal
If i want to change my pin number can I directly from an ATM?,21,change_pin
where can I get the info for my funds,70,verify_source_of_funds
I would like to track the card you sent to me.,11,card_arrival
What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.,48,pending_transfer
Need help with a stolen card.,41,lost_or_stolen_card
What is the expected delivery date for my card?,11,card_arrival
"Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?",75,wrong_amount_of_cash_received
"After a transfer, I see an extra fee. Why?",64,transfer_fee_charged
My wallet got stolen a couple hours ago and now I've seen there already is a withdrawal. Help this is absolutely urgent I don't want to loose more money,20,cash_withdrawal_not_recognised
Is ordering a new card from China available?,9,card_about_to_expire
My card hasn't came in the mail yet?,11,card_arrival
I topped up my account but the app failed to process it.,59,top_up_failed
I made a check and cash deposit that wasn't credited to my account.,6,balance_not_updated_after_cheque_or_cash_deposit
My statement shows different transaction times.,63,transaction_charged_twice
where to i get my funds from?,70,verify_source_of_funds
Are there any ATM's near me that accept this card?,3,atm_support
How can I close my account?,55,terminate_account
"I am not sure how this will work, but I have not received a product I ordered. I want a refund, but should I just cancel the payment?",52,request_refund
Where can I order a card when I am in China?,9,card_about_to_expire
What factors effect the exchange rate?,32,exchange_rate
Do you have the best exchange rate?,32,exchange_rate
I'm trying to purchase a flat but i need my first payment for my mortgage to go through first. I keep getting an error. I'm not sure what is going on but i need help making this transfer.,35,failed_transfer
How can my account have money transferred into it?,65,transfer_into_account
"Hi, Last week I have contacted the seller for a refund as directed by you, but i have not received the money yet. Please look into this issue with seller and help me in getting the refund.",51,Refund_not_showing_up
My account seems a bit off and getting weird charges.,63,transaction_charged_twice
My card stopped working after multiple transactions. Why?,14,card_not_working
I asked for cash but I did not receive all the funds,75,wrong_amount_of_cash_received
How can I check if I have received a refund if it is not yet on my statement?,51,Refund_not_showing_up
"the product is not working, can I get a refund?",52,request_refund
If I want to can I set up a new PIN?,21,change_pin
"I tried to add a topup to my account but the money isn't there, anymore. Did I do something wrong?",61,top_up_reverted
"There must have been a mistake, why was I charged an extra pound?",34,extra_charge_on_statement
I ordered a virtual card but it hasn't come through yet,40,getting_virtual_card
How long will my transfer be pending?,48,pending_transfer
Why is there a fee added to my statement?,34,extra_charge_on_statement
how soon will my card arrive?,12,card_delivery_estimate
Why was my card declined in a shop?,25,declined_card_payment
What cards do you offer?,73,visa_or_mastercard
I would like to get help from someone in your customer service department with assisting me with activating my card.,0,activate_my_card
"Hi, would you please activate my card?",0,activate_my_card
What do I do if I think someone has used my card?,22,compromised_card
How do I input a new address?,30,edit_personal_details
How to receive virtual card?,40,getting_virtual_card
Top up did not work on the app.,59,top_up_failed
The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account?,26,declined_cash_withdrawal
How does identity check work?,74,why_verify_identity
Is there something wrong with the ATM? It would not let me pull cash out of my account.,26,declined_cash_withdrawal
I found my card again. Can I put it back into the app?,13,card_linking
How do I get this damn virtual card to work?,72,virtual_card_not_working
My account balance has not updated since I deposited a cheque recently.,6,balance_not_updated_after_cheque_or_cash_deposit
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,17,card_payment_wrong_exchange_rate
Tell me if there is a limit to top-up.,60,top_up_limits
I believe you charged me too much to exchange my money,17,card_payment_wrong_exchange_rate
I'd like to have extra cards. Will I have to pay for that?,39,getting_spare_card
What do you use to figure out the exchange rate for the card?,32,exchange_rate
Why is there a €1 charge on my statement?,34,extra_charge_on_statement
Do you have any options to top up with a cheque on my account?,58,top_up_by_cash_or_cheque
Somebody made a withdrawal from my account for 500. I have my card so how can this be? Does somebody have a duplicate card or something? Help please.,20,cash_withdrawal_not_recognised
Since when were there charges for taking out cash from my account? It's always been free for me to do this before. How much are the charges going to be?,19,cash_withdrawal_charge
Why hasn't the app verified my identity?,68,unable_to_verify_identity
Where are the cards delivered to,43,order_physical_card
"Given a choice, I'd rather have Mastercard.",73,visa_or_mastercard
Is there a way to lookup where funds came from?,70,verify_source_of_funds
Why is the exchange rate so high? This should have been a much higher amount of cash for that to apply.,76,wrong_exchange_rate_for_cash_withdrawal
please cancel the transaction,8,cancel_transfer
I just realised I made the wrong payment yesterday. Can you please change it to the right account? It's my rent payment and really really needs to be in the right account by tomorrow,8,cancel_transfer
Can you explain why I was charged extra when I used the card?,15,card_payment_fee_charged
I need help finding the verification code on the top up card.,71,verify_top_up
Why was I charged this extra fee while doing a transfer?,64,transfer_fee_charged
I wish to remove my account.,55,terminate_account
How do I transfer cash my into my account?,65,transfer_into_account
What do I need in regards to identification?,69,verify_my_identity
Can I receive money in a different countries money?,50,receiving_money
How can I unblock my PIN?,49,pin_blocked
I am quite aggravated that I ordered online almost a month ago and I never got my package and I paid for it. I would really appreciate it if I could get a full refund back now.,52,request_refund
"I'm interested in holding and exchange for flat currencies, what do you support?",36,fiat_currency_support
An incorrect exchange rate was applied to an item I bought.,17,card_payment_wrong_exchange_rate
Can anyone else top-up for me?,62,topping_up_by_card
How come the money from the merchant appeared back into my account?,53,reverted_card_payment?
How can I switch on my new card?,0,activate_my_card
Why was I charged an extra fee when doing a transfer?,64,transfer_fee_charged
Can I transfer using SWIFT?,56,top_up_by_bank_transfer_charge
Why was there an extra charge when I transferred money?,64,transfer_fee_charged
Why is there a payment showing twice?,63,transaction_charged_twice
Why did the funds for one of my purchase come back to my account?,53,reverted_card_payment?
I would really like a physical card.,43,order_physical_card
How come I have pending transfers?,48,pending_transfer
Is there a reason my new card hasn't arrived yet?,11,card_arrival
I see non-received cash in my app.,20,cash_withdrawal_not_recognised
I just found out from the seller that my money didn't go through. I checked my account and it was deducted at first but now it's back in my account. Can you please fix this for me quickly?,53,reverted_card_payment?
What is the youngest age for an account?,1,age_limit
I did a cash deposit to my account but it doesn't show up,6,balance_not_updated_after_cheque_or_cash_deposit
"I did a cash deposit to my account, but I am not seeing it on my statement.",6,balance_not_updated_after_cheque_or_cash_deposit
Do I have to use bank approved ATM's,3,atm_support
I'd like to apply for a Visa Card.,73,visa_or_mastercard
How do I get my money back for a duplicated charge?,63,transaction_charged_twice
What do I need to do to get my new card which I have requested 2 weeks ago?,11,card_arrival
Is there a limit for top ups?,60,top_up_limits
"Hi, I am experiencing problems while trying to top-up with my card. I have never experienced any problems doing this before. Could you please help me?",59,top_up_failed
How can I exchange currencies with this app?,33,exchange_via_app
I topped up my account but the money isn't there now.,62,topping_up_by_card
Why isn't my card working? I was pumped to use my new card but it keeps getting declined. Help please.,25,declined_card_payment
Why hasn't my balance been updated from the check deposit I made?,6,balance_not_updated_after_cheque_or_cash_deposit
I tried to buy something online yesterday but it kept saying declined. Tried another time today but same thing happened. What's Broken?,27,declined_transfer
Is there a problem with the payment that I see is still pending?,45,pending_card_payment
I can't get google pay to work right.,2,apple_pay_or_google_pay
My card payment's cancelled,53,reverted_card_payment?
Do you have a children account available?,1,age_limit
"Can I change my pin at ATMs? If so, what ones?",21,change_pin
If I don't have much money in the account can I auto top-up?,4,automatic_top_up
There is a direct debit transaction that I did not authorize,28,direct_debit_payment_not_recognised
"I just bought an item and would like to stop payment, is this possible? The item has not been received yet.",52,request_refund
Can I possibly change my currency to another?,33,exchange_via_app
Please sort your top up! My top up has been pending for an hour already. Can you please make it go through as soon as possible. I really need the money.,47,pending_top_up
What do I do if I can't get my card out of the ATM?,18,card_swallowed
The ATM is messed up. It gave me less than I wanted.,75,wrong_amount_of_cash_received
are there any exchange fees,31,exchange_charge
Why was my cash withdrawal cancelled at the ATM?,26,declined_cash_withdrawal
My card is almost expired. How fast will I get a new one and what is the cost?,9,card_about_to_expire
How long before I can see that my cash withdrawal has taken place?,46,pending_cash_withdrawal
Is my account able to be topped up by my friends?,62,topping_up_by_card
Is a physical card also available,43,order_physical_card
Where are the cards transported to?,43,order_physical_card
I was declined when I tried to take out cash!,26,declined_cash_withdrawal
How do I replace a card that's going to expire?,9,card_about_to_expire
"Hey I am standing in front of an ATM here, it only gave me 10 pounds even though I wanted to withdraw 30! Seems like the app has 30 pounds, what do I do??",75,wrong_amount_of_cash_received
Can you tell me why I haven't received my new card yet?,11,card_arrival
Is the verification number on the top up card,71,verify_top_up
I wanted to withdraw $100 from the ATM but I only got $20,75,wrong_amount_of_cash_received
i have yet to get my pin,38,get_physical_card
Your service is bad. Close my account.,55,terminate_account
There is a cash withdrawl I don't remember.,20,cash_withdrawal_not_recognised
What ATMs can I use this card at?,3,atm_support
I didn't get a PIN yet. What gives?,38,get_physical_card
I cannot find my refund on my statement.,51,Refund_not_showing_up
I made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. How can you help?,8,cancel_transfer
When will my transfer move from pending to confirmed?,48,pending_transfer
why do I have an unknown payment?,16,card_payment_not_recognised
"I know there's money in my account, why did my account decline me?",25,declined_card_payment
I have kids and I'm curious at what age could they start to use your service.,1,age_limit
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",63,transaction_charged_twice
I punched in the wrong pin too many times and I'm locked out.,49,pin_blocked
Why was I charged a fee for withdrawing money?,19,cash_withdrawal_charge
Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,41,lost_or_stolen_card
"My phone got stolen, how can I use the app?",42,lost_or_stolen_phone
What are the steps for the identity checks?,69,verify_my_identity
"I was charged twice for a restaurant, can you take the second charge off?",63,transaction_charged_twice
When can I expect the transfer to arrive in my account?,67,transfer_timing
Why hasn't the transaction I did to my friend arrived yet?,66,transfer_not_received_by_recipient
Is it possible for me to track the card is was mailed to me?,11,card_arrival
My passcode was denied.,44,passcode_forgotten
I attempted to get cash in the ATM but it was not authorized,26,declined_cash_withdrawal
Can I have a card even if I am not living in the UK?,24,country_support
My account is showing a double charge.,63,transaction_charged_twice
I made a check deposit but the cash hasn't arrived in my account yet.,6,balance_not_updated_after_cheque_or_cash_deposit
I received a returned payment that I made.,53,reverted_card_payment?
I was not able to receive the correct amount of cash.,75,wrong_amount_of_cash_received
What is the fee for a foreign currency exchange?,31,exchange_charge
I don't know where a direct debit payment came from,28,direct_debit_payment_not_recognised
There is an extra small charge on my card! What do I do?,34,extra_charge_on_statement
What businesses can I use this card with?,10,card_acceptance
Why has my top up been returned?,61,top_up_reverted
Are there any places that won't take my card?,10,card_acceptance
How do I use a cheque to top up?,58,top_up_by_cash_or_cheque
Is it simple to transfer money using my credit card?,62,topping_up_by_card
I need to cancel my recent transfer as soon as possible. I made an error there. Please help before it goes through.,8,cancel_transfer
How much is a physical card?,43,order_physical_card
My salary is deposited in GBP. Do I need to choose the currency?,50,receiving_money
The cast deposit from a week ago still is not in my account. Why?,6,balance_not_updated_after_cheque_or_cash_deposit
Will you be able to exchange to EUR?,36,fiat_currency_support
Are there fees for adding money with an International card?,57,top_up_by_card_charge
I think somebody made an unauthorized copy of my card. My account has a cash withdrawal for 500£ that I did not make. Please help.,20,cash_withdrawal_not_recognised
How do I add cash to my account?,58,top_up_by_cash_or_cheque
I'm interested in getting a virtual card. How do I get one?,40,getting_virtual_card
Can I set it up to add money every few days automatically while I am traveling?,4,automatic_top_up
I have transfered to my account before but it is being declined now?,27,declined_transfer
Will the card be a Mastercard or a Visa?,73,visa_or_mastercard
what is the fee for topping up by card?,57,top_up_by_card_charge
I received duplicate charges.,63,transaction_charged_twice
This is the first time I've tried to get my money out of an ATM and it didn't work. Please give me my money,26,declined_cash_withdrawal
"It seems like I have been waiting forever for this international transfer. Why is it taking so long? C'mon, it's 2018, things happen at a click of a button. All of the account information is correct, so how long will this take?",48,pending_transfer
In my account I noticed my ATM withdrawal is still pending,46,pending_cash_withdrawal
There is unusual activity on my account and I believe someone took my card.,22,compromised_card
would a visa or mastercard be more suited to me?,73,visa_or_mastercard
How do I receive a disposable virtual card?,37,get_disposable_virtual_card
The bank charged me fees for withdrawing cash!,19,cash_withdrawal_charge
I don't think the exchange rate was right.,76,wrong_exchange_rate_for_cash_withdrawal
Is it possible for a transaction to be cancelled?,8,cancel_transfer
I am unsuccessfully trying to make a transfer can you help?,35,failed_transfer
How do I make my PIN work again?,49,pin_blocked
What are the age requirements for service?,1,age_limit
I didn't make this payment and it's on my app,16,card_payment_not_recognised
A transfer was not allowed to an account.,7,beneficiary_not_allowed
Do I have to go to an actual bank to change my PIN?,21,change_pin
How much would I be charged for a transfer?,56,top_up_by_bank_transfer_charge
How do I query a payment on my card? It looks like I have paid for the same thing twice.,63,transaction_charged_twice
When do you charge fees on accounts? I just saw a charge on my statement.,15,card_payment_fee_charged
what are your exchange rates at?,32,exchange_rate
At what ATM can I change my PIN?,21,change_pin
What is the fee for topping up a US card?,57,top_up_by_card_charge
Why is my transfer pending?,48,pending_transfer
What's the limit on total number of cards I can have?,39,getting_spare_card
I tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. Any ideas why?,72,virtual_card_not_working
Tell me why my card payment would be reverted.,53,reverted_card_payment?
What do I do to verify my source of funds?,70,verify_source_of_funds
My card arrived but I don't know how to get my PIN.,38,get_physical_card
The cheque I deposited isn't showing in my account,6,balance_not_updated_after_cheque_or_cash_deposit
Why won't you accept my payment? I keep trying with this card and it's not working.,25,declined_card_payment
is there a frequent currency discount?,31,exchange_charge
"I need to delete my account, please.",55,terminate_account
I want a backup second card. Is this possible?,39,getting_spare_card
"Using Google Pay, can I top up?",2,apple_pay_or_google_pay
How many active transactions can I make with a disposable card?,29,disposable_card_limits
"If there isn't a lot of money left, will it automatically top-up money?",4,automatic_top_up
What is the status of my top up?,61,top_up_reverted
It looks like a payment I've made hasn't made it through yet.,45,pending_card_payment
Is it possible to do auto top up?,4,automatic_top_up
I have lost my card! What is my next step?,41,lost_or_stolen_card
Can you give me a virtual card?,40,getting_virtual_card
I didn't cancel my card payment.,53,reverted_card_payment?
A fee came along with me paying with card,15,card_payment_fee_charged
i asked for 100 only got 80,75,wrong_amount_of_cash_received
"Transfers can take up to one day to process before departing for the beneficiary accounts. Please confirm that you've entered your account details correctly. SEPA transfers can take up to two working days, while SWIFT transfers can take up to five working days.",48,pending_transfer
How do I close my account?,55,terminate_account
How do I complete the ID check?,69,verify_my_identity
How can I receive my salary in another currency?,50,receiving_money
I got a new address and need to change my old one.,30,edit_personal_details
I purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though I've already received one of the items. Can you tell me what's going on?,53,reverted_card_payment?
Can I use your app to exchange between USD and GBP,33,exchange_via_app
Purchases I did not make are appearing in my bank statement?,28,direct_debit_payment_not_recognised
I do not recognize the card payment.,16,card_payment_not_recognised
Can I change my PIN at any ATM?,21,change_pin
Why is there a random payment in my statement?,16,card_payment_not_recognised
Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here?,16,card_payment_not_recognised
"Hey there, I just went through my most recent credit card payments and I notice the same charge for a restaurant was processed twice. There was only one meal at this place, so I would like one of the charges to be reversed and my money to be put back in the account.",63,transaction_charged_twice
Where can I find the top up verification code?,71,verify_top_up
I just checked my account on the App and there is a payment on there that I did not make.,16,card_payment_not_recognised
"Do you hold money and if so, what currencies do you accept?",36,fiat_currency_support
Can I use this app to exchange currencies?,33,exchange_via_app
"If I bought something I didn't like, can I get a refund?",52,request_refund
"I transferred money to another country several days ago, but my transaction is still pending. i have checked that the accounts are keyed in correctly. what sees to be the problem?",48,pending_transfer
What are ways to test why my card might not be working?,14,card_not_working
What countries can I use the card in?,24,country_support
Can cash be used in physical locations to top up?,58,top_up_by_cash_or_cheque
It's been a week since I ordered my card and it's not here. Please help?,11,card_arrival
Can you tell me why my card payment did not work?,25,declined_card_payment
how much for topping up by card?,57,top_up_by_card_charge
How can I exchange to EUR?,36,fiat_currency_support
You operate in which countries?,24,country_support
"I tried to withdraw cash and got declined, why is that?",26,declined_cash_withdrawal
I tried to transfer funds to a beneficiary and was denied. Can you tell me why?,7,beneficiary_not_allowed
Where can I find a Mastercard ATM?,3,atm_support
Do I get Visa or Mastercard?,73,visa_or_mastercard
"I attempted to complete a topup, and I thought all was well, but now the money is gone again. Has there been a glitch?",61,top_up_reverted
How do you find the exchange rate?,32,exchange_rate
If I can't choose my card type will I be able to use it everywhere?,73,visa_or_mastercard
there is a transfer pending.,48,pending_transfer
Can I get some help activating my new card?,0,activate_my_card
My PIN tries have run out. Now what?,49,pin_blocked
I haven't received the cash from the check I deposited.,6,balance_not_updated_after_cheque_or_cash_deposit
"I want to top up my account by a bank transfer, but will I be charged?",56,top_up_by_bank_transfer_charge
How do I get my card into the app?,13,card_linking
What should I do once my card expires?,9,card_about_to_expire
I really need some help to understand why my transfer keeps failing. I'm trying to send money to a friend. Please help.,35,failed_transfer
My app says that I'm not verified.,68,unable_to_verify_identity
Why was the price higher when I paid with my card?,15,card_payment_fee_charged
During the last month I used this account to make payments for my place abroad. I noticed the fees have increased and I wonder why. Shouldn't frequent users have less fees as incentive to keep using instead of increasing them out of nowhere?,64,transfer_fee_charged
Where can I see where my funds came from?,70,verify_source_of_funds
Why didn't I receive the right amount of cash at the ATM?,75,wrong_amount_of_cash_received
"I want to top up by using a credit card, which ones do you support?",54,supported_cards_and_currencies
Can I add to my account using a cheque?,58,top_up_by_cash_or_cheque
I was checking my statement and I think one of my card payments has reverted,53,reverted_card_payment?
Why is the exchange rate different from what I expected?,17,card_payment_wrong_exchange_rate
beneficiary transfer problems?,7,beneficiary_not_allowed
Whats the maximum disposable virtual cards?,29,disposable_card_limits
what is the exchange rate when i get cash,76,wrong_exchange_rate_for_cash_withdrawal
What am i missing to verify my id?,68,unable_to_verify_identity
Is the exchange rate the same on weekends as the weekdays?,32,exchange_rate
I have been charged twice for the same thing!,63,transaction_charged_twice
Can this app exchange American and English currency?,33,exchange_via_app
is apple pay a top up service?,2,apple_pay_or_google_pay
